id,question_text,option_a,option_b,option_c,option_d,has_image,image_urls,source_url
1,"""Geceleyin şehirlerarası kara yolunda seyrederken araçla karşılaşıldığında kısa farları kullanmak gerekir. Bu durumda, net görüş mesafesi ortalama 25 metreye düşer."" Bu bilgiye göre, kısa farların kullanılması gerektiğinde hangisini yapmak doğru olur?","Karşı taraf ikazda bulunmazsa uzun farla devam etmek","Araç hızını, herhangi bir tehlike anında, kolayca durulabilecek hıza getirmek","Yolu daha iyi görmek için art arda kısa aralıklarla selektör yapmak","Yolun sağından bir tehlike gelebileceği düşünülerek iyice sola yanaşmak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
2,"Taşıt yolu üzerine çizilen şekildeki yazı neyi bildirmektedir?","Işıklara 50 m kaldığını","Asgari (en az) hız sınırını","Azami (en yüksek) hız sınırını","Öndeki araca 50 m’den fazla yaklaşılmamasını",TRUE,"/images/10sinav12/soru47.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
3,"Aşağıdakilerden hangisinin otoyolda sürülmesi yasaktır?","","","","",TRUE,"/images/sorular/6eylul2014ehliyetsorulari/soru33cevapa.jpg;/images/sorular/6eylul2014ehliyetsorulari/soru33cevapb.jpg;/images/sorular/6eylul2014ehliyetsorulari/soru33cevapc.jpg;/images/sorular/6eylul2014ehliyetsorulari/soru33cevapd.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
4,"Karşıdan gelen araçla karşılaşıldığında uzağı gösteren ışıkların yerine hangisi yakılmalıdır?","Yakını gösteren ışıklar","Acil uyarı ışıkları","Dönüş ışıkları","Park ışıkları",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
5,"Aşağıdakilerden hangisi taşıt giremez işaretidir?","","","","",TRUE,"/images/10sinav20/soru45a.png;/images/10sinav20/soru45b.png;/images/10sinav20/soru45c.png;/images/10sinav20/soru45d.png","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
6,"Aşağıdakilerden hangisi balanssız tekerleğin araç üzerindeki etkilerinden biridir?","Motorun soğuması","Direksiyonun titremesi","Motor yakıtına yağ karışması","Fren disk yüzeyinin soğuması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
7,"Bir arızadan dolayı sürülemeyen veya ışık ve fren donanımları bozulan araçlar, diğer bir araç ile en yakın bakım ve onarım yerine kadar gerekli şartlara uyulmak kaydıyla çekilebilirler. Buna göre aşağıdakilerden hangisi arızalı araç çekilirken uyulması gereken şartlardan biri değildir?","Çekilen aracın ağırlığının, çeken aracın taşıma sınırından az olması","Birbirine bağlanan iki araç arasındaki açıklığın 10 metre olması","Çekilen aracın, sürücü yönetiminde olması","Her iki aracın da boş (yüksüz) olması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
8,"Şekildeki trafik işareti neyi ifade eder?","Geçme yasağının sonu olduğunu","Öndeki taşıtın geçilmesinin yasak olduğunu","Bütün yasaklama ve kısıtlamaların sona erdiğini","Yük taşıtlarının öndeki taşıtları geçmelerinin yasak olduğunu",TRUE,"/images/10sinav13/soru72.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
9,"İlk yardımcı, baş bölgesinden şiddetli darbe alan kazazedenin; sesli ve ağrılı uyarılara yanıt vermediğini, yutkunma ve öksürük gibi tepkilerinin olmadığını, ışığa karşı tepkisiz olduğunu ve idrar kaçırdığını tespit etmiştir. Bu belirtilere göre, ilk yardımcının kazazedeye hangi pozisyonu vermesi doğrudur?","Sırtüstü yatış","Yarı oturuş","Koma","Şok",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
10,"Şekildeki kavşakta ilk geçiş hakkı sıralaması nasıl olmalıdır?","1 - 2 - 3","1 - 3 - 2","2 - 3 - 1","3 - 1 – 2",TRUE,"/images/20-mayis-2017/26.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
